clicks;meneos;contentSummary;title;titleRef;votesUp;votesDown;votesAnonymous;newsPaper;karma;category;comments
120;71;El supuesto doctorado italiano de la presidenta del PSOE no es más que una licenciatura, por lo que incumplió la ley al formar parte de un tribunal de evaluación de tesis en 2016;  La Carlos III reconoce que Cristina Narbona no puede ser considerada doctora en España  ;https://www.elconfidencial.com/espana/2019-03-20/cristina-narbona-doctorado-universidad-espana_1892286/;50;2;21;elconfidencial.com;268; actualidad ;5
396;63;"El sospechoso afirmó que quería suicidarse y ""detener las muertes en el Mediterráneo"". La Policía logró bloquear el vehículo después de que uno de los jóvenes llamara a sus padres. La Policía italiana ha detenido a un hombre de 47 años acusado de secuestrar un autobús escolar y posteriormente iniciar un incendio en el interior del vehículo, informan medios locales.";  Italia: secuestra un autobús con 51 estudiantes y le prende fuego    ;https://actualidad.rt.com/actualidad/309198-italia-secuestra-autobus-alumnos-prender-fuego;34;6;29;actualidad.rt.com;293; actualidad ;31
902;88;Una mujer de 22 años ha sido atropellada por un autobús de la EMT de Madrid. Según las primeras informaciones, la víctima se disponía a cruzar un paso de peatones señalizado con semáforos mientras estaba mirando el móvil cuando fue arrollada. La joven quedó atrapada bajo el autobús. Para rescatarla, los bomberos han tenido que levantar el vehículo. Se encuentra en estado grave tras haber sufrido politraumatismos. Por su parte, el conductor del autobús ha tenido que ser atendido por psicólogos al sufrir una crisis de ansiedad.;  Una joven, en estado grave tras ser atropellada en Madrid por un autobús mientras cruzaba mirando el móvil    ;https://www.lasexta.com/noticias/sociedad/una-joven-en-estado-grave-tras-ser-atropellada-por-un-autobus-mientras-cruzaba-mirando-el-movil-video_201903205c9234540cf24e4f1c662bb1.html;44;3;44;lasexta.com;348; actualidad ;81
689;38;Por estos días, 'Jack el Destripador' ha vuelto a aparecer en la prensa, porque según un paper publicado la semana pasada, finalmente conoceríamos la identidad del asesino en serie que aterrorizó las calles de Londres a finales del siglo 19: un peluquero polaco de 23 años llamado Aaron Kośmiński, quien en algún momento fue el principal sospechoso.;  No, no sabemos quién fue 'Jack el Destripador'  ;http://de-avanzada.blogspot.com/2019/03/jack-el-destripador.html;23;1;15;de-avanzada.blogspot.com;272; cultura ;22
713;97;"Muñiz afirma que «hemos contribuido a salvar el río; podemos decir que hemos ganado la batalla». Robles felicita a la unidad por la labor realizada y Vara la agradece en nombre de los extremeños";  La UME deja el río limpio y la CHG vigilará que no rebrote el camalote  ;https://www.lacronicabadajoz.com/noticias/badajoz/ume-deja-rio-limpio-chg-vigilara-no-rebrote-camalote_325090.html;49;2;48;lacronicabadajoz.com;341; actualidad ;27
927;151;Condiciona el aplazamiento a que el parlamento ratifique el acuerdo presentado por May ya dos veces y rechazado en ambas ocasiones.  En caso contrario, UK abandonaría la UE el 29 de Marzo tal y como fija el artículo 50;  Tusk: La UE solo aplazará el Brexit del 29M si la próxima semana el parlamento de UK aprueba el acuerdo de salida  ;https://www.theguardian.com/politics/live/2019/mar/20/brexit-latest-news-letter-article-50-extension-pmqs-theresa-may-bends-to-pressure-from-tory-brexiters-and-rules-out-asking-for-long-article-extension-politics-live;81;1;70;theguardian.com;269; actualidad ;56
1354;75;El 8 de octubre de 1950, la Tercera Guerra Mundial estuvo a punto de estallar: la USAF atacó y bombardeó un aeródromo soviético en el Lejano Oriente ruso. A pesar de la frenética guerra coreana se libraba a sólo unos cientos de kilómetros al sur nadie esperaba un hecho de estas características.;  El día en que aviones de EEUU atacaron la Unión Soviética  ;https://es.rbth.com/historia/82778-aviones-ee-uu-atacaron-union-sovietica;40;0;35;es.rbth.com;265; cultura ;13
988;290;El 80% de los españoles es infeliz en el trabajo. Es la conclusión de una encuesta elaborada por Acierto.com con motivo del Día de la Felicidad. Esta insatisfacción tiene distintas causas, entre las que están la falta de reconocimiento, la sensación de estar ganando un salario precario y la imposibilidad de conciliar la vida familiar y la laboral.;  El 80% de los españoles es infeliz en el trabajo  ;https://theobjective.com/el-80-de-los-espanoles-es-infeliz-en-el-trabajo-segun-una-encuesta/;121;2;169;theobjective.com;271; actualidad ;97
2099;90;Las mujeres bellas y los cánones de belleza asociadas a ellas ocupan un lugar destacado en la historia de China, como bien demuestran las legendarias “4 hermosas” (四大美女) de la Antigüedad. Sin embargo, la ausencia de representaciones fiables hace que tengamos que esperar casi hasta la llegada del Siglo XX para hacernos una idea más clara de las mujeres a las que se consideraba guapas, entre las que destacaron muchas actrices y modelos. Repaso visual a la evolución de los cánones de belleza del gigante asiático.;  Mujeres bellas en la historia de China: 2500 años de cánones    ;https://www.youtube.com/watch?v=6j061YHOUeE;54;11;36;youtube.com;503; ocio ;20
3714;335;Cada vez son más las empresas que optan por esta fórmula para aumentar la productividad y mejorar el bienestar de sus trabajadores. Estos explican cómo ha repercutido en sus vidas.;  Así es tener una jornada semanal de 4 días: “Es lo mejor que me ha pasado en la vida”  ;https://www.elconfidencial.com/alma-corazon-vida/2019-03-20/jornada-semanal-cuatro-dias-mejor-pasado-vida_1882242/;123;2;212;elconfidencial.com;343; actualidad ;52
